RecipeItem/0/_ItemName,RecipeItem/1/_ItemName,RecipeItem/2/_ItemName,RecipeItem/3/_ItemName,RecipeItem/4/_ItemName,RecipeItem/5/_ItemName,RecipeItem/6/_ItemName,RecipeItem/7/_ItemName,RecipeItem/8/_ItemName,RecipeItem/9/_ItemName,RecipeItem/9/_itemQuantityText,memo/__cdata,_createDate,_description,_modifyDate,_nutrientRefNum,_primaryKey,_recordType,_useStaticIngrStmt,_userCode,_version,RecipeItem/10/_ItemName,RecipeItem/11/_ItemName,RecipeItem/12/_ItemName,RecipeItem/12/_itemQuantityText,RecipeItem/13/_ItemName,RecipeItem/14/_ItemName,RecipeItem/15/_ItemName,RecipeItem/15/_itemQuantityText,RecipeItem/16/_ItemName,RecipeItem/16/_itemQuantityText,RecipeItem/17/_ItemName,RecipeItem/18/_ItemName,RecipeItem/19/_ItemName,RecipeItem/20/_ItemName
STEP 1: Cut bacon into small pieces and cook until crisp. Drain on paper towels. 



STEP 2: In medium bowl beat together eggs and cream, both at room temperatuare, just until blended. Stir in cheese and set aside.



STEP 3: Cook fettuccini pasta according to package directions. Drain and return to pan. Toss with butter until it is melted. Add bacon and cheese mixture and toss gently until mixed.



NOTE: Lots of crispy bacon is tossed with hot, buttered noodles, whipped eggs and cream, and a generous measure of Parmesan cheese. Stir until the heat of the pasta cooks the eggs, then serve with parsley and ground pepper.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Jackie",8/4/05,"Dish, pasta carbonara, Italian",8/30/05,199740411,199740411,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Olive Salad/Cooking Oil,Fresh White Onions-Chpd,Fresh Garlic Cloves,Stewed Tomatoes w/Liquid-Cnd,Low Sodium Chicken Broth-Cnd,Cannellini Beans-Cnd GML-PR,Fresh Parsley-Chpd,Ground Basil,Black Pepper,Enrich Pasta Shells Small-Ckd,,"YIELDS: 8 Servings



NOTE: A rich and savory soup, it can be a meal in itself, serve with garlic toast.



METHOD:



STEP 1: Heat oil in 4-quart Dutch oven over medium heat until hot. Add onion and minced garlic and cook for 5 minutes or until onion is tender.



STEP 2: Add undrained tomatoes, undrained cannellini beans, chicken broth, parsley, basil and pepper to Dutch oven and bring to a boil over high heat, stirring occasionally. Let boil for approximately 1 minute and then let simmer for 10 minutes, covered.



STEP 3: Add pasta to Dutch oven and simmer approximately 10 to 12 minutes or until pasta is tender. Serve immediately and enjoy.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Corwynn Darkholme",8/5/05,"Soup, pasta e fagioli, Italian",8/5/05,274721057,274721057,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Fresh Garlic Cloves,White Onion Cooked Drained Whole-Med,Whole Carrots Cooked-Drnd,Fresh Parsley-Chpd,Ground Basil,Oregano-Ground,Olive Salad/Cooking Oil,Whole Red Ripe Tomatoes Canned-Med,Cannellini Beans-Cnd GML-PR,Enrich Macaroni Noodles-Ckd,,"YIELDS: 4 To 6 Servings



NOTE: 6 Servings used for nutritional analysis.



METHOD:



STEP 1: In a large skillet, saute minced garlic, chopped onion and carrot, parsley, basil and oregano in olive oil until onions are tender.



STEP 2: Add the tomatoes plus 1/4 cup of the can juices and the salt and pepper. Cover and stir frequently, simmering for 10 minutes or until vegetables are tender. Add the rinsed and drained cannellini beans and cover. Simmer for 20 minutes.



STEP 3: Cook macaroni according to package directions, drain and toss with butter and Parmesan cheese. Add to cannellini bean mixture. Serve immediately with additional Parmesan cheese, if desired.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Holly",8/5/05,"Dish, pasta fazul, Italian",8/30/05,16697655,16697655,insert,FALSE,,2.2.0,Salted Butter,Parmesan Cheese-Grated,Table Salt,,Black Pepper,,,,,,,,,

Enrich Macaroni Noodles-Ckd,Green Peas Fzn-10oz Pkg,Asparagus Cooked-Drnd,Gorgonzola Cheese SCH-SF,Heavy Whipping Cream,Table Salt,Black Pepper,,,,,"PREP TIME: 20 Min

COOK TIME: 15 Min

YIELDS: 2 Servings



METHOD:



STEP 1: Bring a large pot of lightly salted water to a boil. Add penne pasta, peas and asparagus to boiling water. Cook for 5 minutes or until pasta is al dente. Drain.



STEP 2: Meanwhile, crumble cheese with the cream and season with salt and pepper to taste.



STEP 3: In large bowl, toss pasta and vegetables with cheese mixture, stirring until the cheese has melted and the pasta is well coated with the sauce. Serve immediately.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Holly

",8/5/05,"Dish, pasta milan, Italian",8/30/05,87994278,87994278,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Enrich Spaghetti Noodles-Ckd,Olive Salad/Cooking Oil,White Onion Cooked Drained Whole-Med,Fresh Garlic Cloves,Fresh Red Tomatoes YearRoundAvg-Chpd/Slc,Balsamic Vinegar HCG-HF,Low Sodium Chicken Broth-Cnd,Crushed Red Chili Pepper Flakes,Black Pepper,Fresh Basil-Chopped,,"PREP TIME: 15 Min

COOK TIME: 15 Min

YIELDS: 4 Servings



NOTE: Cooked chicken breast chunks or shrimp can also be added to sauce for a great main dish.



METHOD:



STEP 1: Bring a large pot of lightly salted water to a boil. Add angel hair pasta and cook for 8 minutes or until al dente; drain.



STEP 2: Pour olive oil in a large deep skillet over high heat. Saute chopped onions and minced garlic until lightly browned. Reduce heat to medium-high and add diced tomatoes, vinegar and chicken broth; simmer for about 8 minutes.



STEP 3: Stir in red pepper, black pepper, basil and cooked pasta, tossing thoroughly with sauce. Simmer for about 5 more minutes and serve topped with grated cheese.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Dinah

",8/5/05,"Dish, pasta pomodoro, Italian",8/30/05,185573767,185573767,insert,FALSE,,2.2.0,Parmesan Cheese-Grated,,,,,,,,,,,,,

Enrich Spaghetti Noodles-Ckd,Salted Butter,Fresh Garlic Cloves,Mushroom Pieces Cooked-Drnd,White Onion Cooked Drained Whole-Med,Table Salt,Black Pepper,,,,,"PREP TIME: 10 Min

COOK TIME: 20 Min

YIELDS: 8 Servings



METHOD:



STEP 1: Bring a large pot of lightly salted water to a boil. Add spaghetti and cook for 8 to 10 minutes or until al dente; drain, but do not rinse.



STEP 2: Meanwhile, melt butter in a large skillet over medium-high heat. Saute thinly sliced garlic, mushrooms and chopped onion until tender. Toss with cooked spaghetti. Season with salt and pepper to taste.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Mavis",8/5/05,"Dish, pastachutta, Italian",8/30/05,370540108,370540108,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Duck Whole w/Skin Domesticated-Rstd,Ground Cinnamon,Ground Ginger,Ground Nutmeg,White Pepper,Ground Cloves,Tamari Soy Sauce,Honey,"All Types Fresh Orange Medium-2 5/8""",Fresh Parsley-Chpd,,"PREP TIME: 15 Min

COOK TIME: 1 Hr 35 Min

YIELDS: 4 Servings



NOTE: Can be served with plum sauce as well as a fruit sauce. This is actually a short-cut version but it is fantastic.



METHOD:



STEP 1: Rinse the duck inside and out, and pat dry. Cut off tail and discard. In a small bowl, mix together the cinnamon, ginger, nutmeg, white pepper and cloves. Sprinkle one teaspoon of the mixture into the cavity of the duck. Stir one tablespoon of the soy sauce into the remaining spice mixture and rub evenly over the entire outside of the bird. Cut one of the green onions in half and tuck into the cavity. Cover and refrigerate the bird for at least 2 hours, or overnight.



STEP 2: Place duck breast side up on a rack in a big enough wok or pot and steam for an hour adding a little more water, if necessary, as it evaporates. Lift duck with two large spoons, and drain juices and green onion.



STEP 3: Preheat the oven to 375 degrees F (190 degrees C). Place duck breast side up in a roasting pan and prick skin all over using a fork.



STEP 4: Roast for 30 minutes in the preheated oven. While the duck is roasting, mix together the remaining 2 tablespoons of soy sauce and honey. After 30 minutes, brush the honey mixture onto the duck and return it to the oven. Turn the heat up to 500 degrees F (260 degrees C). Roast for 5 minutes, or until the skin is richly browned. Do not allow the skin to char.



STEP 5: Prepare the duck sauce by mixing the plum jam with the sugar, vinegar and chutney in a small serving bowl. Chop remaining green onions and place them in a separate bowl. Place whole duck onto a serving platter and garnish with orange slices and fresh parsley. Use plum sauce and onions for dipping.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Allison

",8/5/05,"Duck, peking, Chinese",2/3/09,587845979,587845979,insert,FALSE,,2.2.0,Fresh Green Onions Bulb & Tops-Med,Plum Jam JMS,White Granulated Sugar,,Distilled Vinegar,Mango Chutney w/Oil-Whole Content INTL,,,,,,,,

"Peeled Potato Cooked-3"" to 4.25""",White Onion Cooked Drained Whole-Med,Sweet Green Bell Peppers Chpd Ckd-Drnd,Onion Powder,Garlic Powder,Table Salt,Black Pepper,Canola Oil,Kielbasa Beef & Pork Sausage-Slc,,,"PREP TIME: 15 Min

COOK TIME: 35 Min

YIELDS: 4 Servings



METHOD:



STEP 1: Heat oil in a large skillet over medium-high heat. Cook chopped onions and potatoes (cut into 1 inch cubes) for 15 minutes, stirring occasionally. Reduce flame to medium and stir in two bell peppers (cut into 1 inch pieces), onion powder, garlic powder, salt and pepper. Cover, and cook 5 minutes. Stir in kielbasa, cover and cook for 15 minutes, or until onions are caramelized.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Christopher Shorts",8/5/05,"Dish, meat & potatoes, Polish",9/16/05,26920464,26920464,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Olive Salad/Cooking Oil,Pork Tenderloin-Rstd,Fresh Garlic Cloves,Fresh Cilantro-Leaves,Olive Salad/Cooking Oil,Red Wine Vinegar HCG-HF,Sweet Port Desset Wine,Table Salt,Black Pepper,Dried Ground Cayenne Pepper,,"PREP TIME: 15 Min

COOK TIME: 10 Min

YIELDS: 4 Servings



METHOD:



STEP 1: Heat 2 tablespoons olive oil in a large heavy skillet over high heat. Saute pork (cut into bite-size pieces) until evenly browned, and fully cooked. Transfer to a bowl, and sprinkle with cilantro and garlic; keep warm.



STEP 2: In a small bowl, combine 3 tablespoons olive oil, vinegar and port. Season with salt, black pepper, and cayenne. Whisk until consistency is creamy. Stir into cooked pork, and serve immediately.



Serve with French bread.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Marlies Monika

",8/5/05,"Pork, marinated, Mediterranean",8/8/05,522414087,522414087,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Olive Salad/Cooking Oil,WhiteOnion Cooked Drained Whole-Lrg,Fresh Garlic Cloves,Crushed Red Chili Pepper Flakes,Tomato Sauce-Cnd,Water,Fresh Parsley-Chpd,Table Salt,Black Pepper,Paprika,,"PREP TIME: 15 Min

COOK TIME: 30 Min

YIELDS: 8 Servings



METHOD:



STEP 1: Heat oil in a large saucepan over medium heat. Saute chopped onions and minced garlic until golden brown. Stir in red pepper flakes, tomato sauce, hot water, parsley, salt, pepper and paprika. Bring to a boil, reduce heat and simmer for 30 minutes.



STEP 2: Gently stir in fava beans. Remove from heat and let stand for several minutes to allow flavors to meld.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by John Pacheco",8/8/05,"Dish, fava beans, Portuguese",8/8/05,276533614,276533614,insert,FALSE,,2.2.0,Mature Fava/Broad Beans Cnd-w/Liquid,,,,,,,,,,,,,

Chicken Broil/Fry Breast w/Skin-Rstd,Cream Of Mushroom Soup Cond-Cnd CAM-CS,Mushrooms Canned Drained-Slc,Cultured Sour Cream,Sherry Cooking Wine BGF-RE,Paprika,,,,,,"PREP TIME: 10 Min

COOK TIME: 1 Hr 15 Min

YIELDS: 6 Servings



NOTE: Serve over a platter of hot, fluffy rice if desired.



METHOD:



STEP 1: Preheat oven to 350 degrees F (175 degrees C).



STEP 2: Place chicken breasts skin-side up in an 11x17 inch baking dish. In a medium bowl combine soup, muchrooms with liquid, sour cream and sherry. Mix well and pour mixture over chicken. Sprinkle with paprika.



STEP 3: Bake at 350 degrees F (175 degrees C) for about 1 1/4 hours, or until chicken is cooked through and tender, and juices run clear.



Copyright @ 2005

www.allrecipes. com



Recipe submitted by Sandra",8/8/05,"Chicken, poulet parisienne, French",2/3/09,387891240,387891240,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Canola Oil,Fresh Plantain-Med,Table Salt,,,,,,,,,"PREP TIME: 5 Min

COOK TIME: 5 Min

YIELDS: 2 Servings



NOTE: A plantain is a very firm banana. Serve as a side dish with your meal or as appetizers.



METHOD:



STEP 1: Heat 5 tablespoons oil in a large skillet. Place the plantains (peeled and broken into chunks) in the oil and fry on both sides; approximately 3 1/2 minutes per side.



STEP 2: Remove the plantains from the pan and flatten them by placing a plate over the fried plantains and pressing down.



STEP 3: Dip the plantains in 3 cups cold water, then return them to the hot oil and fry 1 minute on each side. Salt to taste and serve immediately.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Lymari",8/8/05,"Dish, plantains, fried, Puerto Rican",3/8/06,94413034,94413034,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Chicken Broil/Fry Breast w/oSkin-Rstd,Canola Oil,White Onion Cooked Drained Whole-Med,Salsa-rts,"Flour Tortilla rtb-10""",Cheddar & Monterey Jack Cheese-Shred KFT,,,,,,"PREP TIME: 20 Min

COOK TIME: 7 Min

YIELDS: 10 Servings



NOTE: Serve with salsa and sour cream.



METHOD:



STEP 1: Preheat oven to 350 degrees F (175 degrees C). Spray a cookie sheet with non-stick cooking spray.



STEP 2: In a large skillet, fry the chicken (cut into strips) in oil until they are no longer pink. Add the onion (sliced into strips) and fry, stirring constantly, until they are translucent. Mix in the salsa (you may want to add more to taste).



STEP 3: Place the tortillas between two damp paper towels and microwave on high for 1 minute.



STEP 4: Fill half of 1 tortilla with the chicken mixture and cheese, then fold the tortilla over the full half. Repeat with remaining tortillas and filling. Arrange the quesadillas on the cookie sheet.



STEP 5: Bake the quesadillas in the preheated 350 degree F (175 degree C) oven until the cheese has melted. Cut the quesadillas into fours.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Jessie Novotny",8/8/05,"Dish, chicken quesadillas, Mexican",8/9/05,115536624,115536624,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Single Pie Crust Prep f/Rec-Unbkd,Cured Bacon-Pan Fried,Swiss Cheese-Shredded,Fresh White Onions-Chpd,Whole Eggs Raw-Lrg,Light Cream,Table Salt,White Granulated Sugar,Dried Ground Cayenne Pepper,,,"PREP TIME: 15 Min

COOK TIME: 55 Min

YIELDS: 6 Servings



METHOD:



STEP 1: Preheat oven to 425 degrees F (220 degrees C).



STEP 2: Place bacon in a large skillet, and fry over medium-high heat until crisp. Drain on paper towels, then chop coarsely. Sprinkle bacon, cheese, and onion into pastry shell.



STEP 3: In a medium bowl, whisk together beaten eggs, cream, salt, sugar and cayenne pepper. Pour mixture into pastry shell.



STEP 4: Bake 15 minutes in the preheated oven. Reduce heat to 300 degrees F (150 degrees C), and bake an additional 30 minutes, or until a knife inserted 1 inch from edge comes out clean. Allow quiche to sit 10 minutes before cutting into wedges.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Jennifer

",8/8/05,"Dish, quiche lorraine, French",8/30/05,411702780,411702780,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Olive Salad/Cooking Oil,Fresh Garlic Cloves,Dried Parsley,Eggplant Cubes Cooked-Drnd,Table Salt,Parmesan Cheese-Grated,Zucchini Squash Slices w/Skin Ckd-Drnd,WhiteOnion Cooked Drained Whole-Lrg,Mushroom Pieces Cooked-Drnd,Sweet Green Bell Peppers Chpd Ckd-Drnd,,"PREP TIME: 15 Min

COOK TIME: 45 Min

YIELDS: 4 Servings



METHOD:



STEP 1: Preheat oven to 350 degrees F (175 degrees C). Coat bottom and sides of a 1 1/2 quart casserole dish with 1 tablespoon olive oil.



STEP 2: Heat remaining 1 tablespoon olive oil in a medium skillet over medium heat. Saute minced garlic until lightly browned. Mix in parsley and one eggplant, cut into 1/2 inch cubes. Saute until eggplant is soft, about 10 minutes. Season with salt to taste.



STEP 3: Spread eggplant mixture evenly across bottom of prepared casserole dish. Sprinkle with a few tablespoons of Parmesan cheese. Spread two sliced zucchini in an even layer over top. Lightly salt and sprinkle with a little more cheese. Continue layering in this fashion, with onions (sliced into rings), sliced mushrooms, one sliced bell pepper, and chopped tomatoes, covering each layer with a sprinkling of salt and cheese.



STEP 4: Bake in preheated oven for 45 minutes.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Lynette",8/8/05,"Dish, ratatouille, Italian",8/30/05,114348403,114348403,insert,FALSE,,2.2.0,"Fresh Red Tomatoes Year Round Avg Lrg-3""",,,,,,,,,,,,,

Pork Whole Loin-Rstd,WhiteOnion Cooked Drained Whole-Lrg,Fresh Garlic Cloves,Sun Dried Hot Chili Peppers,Water,Table Salt,Enrich Masa Harina Corn Flour-BkdValue,Beef Broth/Bouillon-14oz rts Can,Double Acting SodAlumSulft Baking Powder,Table Salt,,"PREP TIME: 35 Min

COOK TIME: 3 Hr

YIELDS: 16 Servings



NOTE: The pork can be substituted with either chicken or beef. Served with refried beans and a salad.



METHOD:



Tamale Filling:

STEP 1: Place pork into a Dutch oven with the halved onion and garlic, and add water to cover. Bring to a boil, then reduce heat to low and simmer until the meat is cooked through, about 2 hours.



STEP 2: Use rubber gloves to remove stems and seeds from the chile pods. Place chiles in a sauce pan with 2 cups water. Simmer, uncovered, for 20 minutes, then remove from heat to cool. Transfer the chiles and water to a blender and blend until smooth. Strain the mixture, stir in salt, and set aside. Shred the cooked meat and mix in one cup of the chile sauce.



STEP 3: Soak the corn husks (18 oz pkg)  in a bowl of warm water. 



Tamake Dough:

STEP 4:

In a large bowl, beat the lard with a tablespoon of the broth until fluffy. Combine the masa harina, baking powder and salt; stir into the lard mixture, adding more broth as necessary to form a spongy dough.



STEP 5: Spread the dough out over the corn husks to 1/4 to 1/2 inch thickness. Place one tablespoon of the meat filling into the center. Fold the sides of the husks in toward the center and place in a steamer. Steam for 1 hour.



STEP 6: Remove tamales from husks and drizzle remaining chile sauce over. Top with sour cream. For a creamy sauce, mix sour cream into the chile sauce.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Saddiecat",8/8/05,"Dish, tamales, Mexican",3/8/06,3307871,3307871,insert,FALSE,,2.2.0,Lard,Cultured Sour Cream,,,,,,,,,,,,

Dried Almonds-Whole,Fresh Jalapeno Peppers,Fresh Garlic Cloves,Fresh Ginger Root,Fresh Cilantro-Leaves,Table Salt,Fresh Lemon Juice-Yield Per Fruit,Heavy Whipping Cream,Chicken Broil/Fry Breast w/oSkin-Rstd,Salted Butter,,"PREP TIME: 30 Min

COOK TIME: 30 Min

YIELDS: 6 Servings



NOTE: Traditionally, chicken, beef or lamb meat is used, but prawns or scallops are good substitutes. Serve with chatnis (dips made from coconut, cilantro and mint, usually found in Indian grocery stores) or tomato sauce.



METHOD:



STEP 1: Place almonds in a small bowl and cover with water. Allow to soak for 15 to 20 minutes; drain. Place almonds, seeded and chopped peppers, garlic, ginger, and chopped cilantro into the bowl of a food processor; blend until smooth. Season with salt to taste, and blend in lemon juice. Blend in cream.



STEP 2: Transfer mixture to a large, non metallic bowl. Place chicken in bowl, and turn to coat. Cover, and marinate in refrigerator for 24 hours.



STEP 3: Preheat grill for high heat, and lightly oil grate. Remove meat from marinade, and thread onto skewers.



STEP 4: Brush meat with butter, and arrange skewers on hot grate. Slowly cook the chicken until cooked through.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by nitisha",8/8/05,"Chicken, reshmi kebab, Indian",8/12/05,81476156,81476156,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Water,3.25% Whole Milk,Salted Butter,White Onions Chopped Cooked-Drnd,Arborio Rice-Dry FFS-EG,Medium White Wine,"Fresh Red Tomatoes YearRndAvg Med-2 3/5""",Fresh White Sweet Corn-Kernels f/Lrg Ear,Parmesan Cheese-Grated,Fresh Basil-Chopped,,"YIELDS: 4 Servings



METHOD:



STEP 1: Combine the water and milk in a medium size pot or saucepan, heat to a simmer. Keep the pan over low heat.



STEP 2: Melt the butter in a large casserole or skillet over medium high heat. Add the minced onion and cook for 3 to 4 minutes, stirring occasionally. Add the minced garlic and rice, stir constantly for 1 minute. Add the white wine and stir until completely absorbed.



STEP 3: Begin to add the heated milk-water mixture 1/2 cup at a time, stirring frequently. Wait until each addition is almost completely absorbed before adding the next. When the rice has cooked for 15 minutes and most of the liquid has been incorporated, add the corn kernels and tomatoes (peeled, seeded and chopped) along with the end of the milk-water mixture. Cook, stirring frequently, until the rice is tender but still slightly chewy.



STEP 4: The risotto should take 18 to 20 minutes of cooking all together. Stir in the Parmesan cheese, most of the basil, and the salt and pepper. Spoon the risotto immediately onto plates, top with the remaining basil strands, and serve.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by jessica",8/9/05,"Dish, risotto, Italian",8/30/05,273065856,273065856,insert,FALSE,,2.2.0,Table Salt,Black Pepper,,,,,,,,,,,,

Corn Starch,Japanese Rice Wine,Fresh Lemon Juice,Soy Sauce-f/Soy,Hot/Pepper Sauce-rts,Fresh Ginger Root,Fresh Garlic Cloves,Chicken Broil/Fry Breast w/oSkin-Rstd,Dried Whole Sesame Seeds,Sesame Salad/Cooking Oil,,"YIELDS: 4 Servings



METHOD:



STEP 1: To Made Marinade: In a nonporous dish or bowl blend cornstarch with wine or sherry; then stir in lemon juice, soy sauce, hot pepper sauce, grated ginger, and crushed garlic. Blend together and stir in chicken strips (cut into bite size pieces). Cover dish and refrigerate to marinate for 3 to 4 hours.



STEP 2: In a wok or large skillet, place sesame seeds and dry-fry over medium heat, shaking the wok, until the seeds are a golden brown color. Remove seeds and set aside. 



STEP 3: To same wok or skillet add sesame oil and vegetable oil and heat slowly. Drain chicken, reserving marinade, and stir-fry in wok a few pieces at a time, until browned. Remove chicken with a slotted spoon and set aside.



STEP 4: Add quartered mushrooms and one sliced green bell pepper to same wok or skillet and stir-fry for 2 to 3 minutes. Add the scallions (sliced diagonally into 1/2 inch pieces) and stir-fry 1 minute more. Return chicken to wok, together with reserved marinade, and stir over medium heat for another 2 to 3 minutes, or until the ingredients are evely coated with the glaze. Sprinkle toasted sesame seeds on top and serve immediately.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Shelley

",8/9/05,"Chicken, sesame, Asian",8/30/05,139669608,139669608,insert,FALSE,,2.2.0,Canola Oil,Mushroom Pieces Cooked-Drnd,Sweet Green Bell Peppers Chpd Ckd-Drnd,,Fresh Green Onions Bulb & Tops-Lrg,,,,,,,,,

Salted Butter,Distilled Vinegar,Water,Mayonnaise w/Soybean Oil,Prepared Horseradish,White Granulated Sugar,Black Pepper,Table Salt,Chicken Broil/Fry Leg w/Skin-Rstd,,,"PREP TIME: 10 Min

COOK TIME: 45 Min



METHOD:



STEP 1: Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil, and brush the foil with melted butter.



STEP 2: In a medium bowl, mix together the white vinegar, water, mayonnaise, horseradish, sugar, salt and pepper until well blended. Coat each piece of chicken heavily with the sauce, and place onto the prepared baking sheet.



STEP 3: Bake, uncovered, for about 45 minutes in the preheated oven. Baste occasionally with remaining sauce. Chicken is done when the juices run clear, and the meat is no longer pink. Serve with rice or noodles.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Gary McMurrain",8/9/05,"Chicken, shandong, Chinese",8/12/05,206043838,206043838,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

"Lamb Composite Choice 1/8"" Trim-Cooked","Sauce, souvlaki marinade, Greek",LowFat Plain Yogurt w/12gProtein Per Cup,"Fresh Cucumber Whole 8.25"" Long",Fresh Garlic Cloves,Olive Salad/Cooking Oil,Dried Dill Weed,Table Salt,Black Pepper,"Enrich White Pita Bread-Lrg 6 1/2""",,"PREP TIME: 30 Min

COOK TIME: 20 Min

YIELDS: 8 Servings



NOTE: Serve with a Greek salad and rice pilaf.



METHOD:



STEP 1: Place lamb (cut into 1 inch square cubes) in a large bowl. Add 1/2 recipe of Souvlaki Marinade. Stir until lamb is well coated. Cover, and refrigerate 3 hours, or overnight.



STEP 2: Prepare grill, and lightly oil grate. In a small bowl, combine yogurt, shredded cucumber, minced garlic and 2 tablespoons olive oil. Season with dill weed, salt and pepper to taste; set aside.



STEP 3: Thread meat onto skewers. Grill 10 minutes, turning once. Lightly sprinkle pita bread with remaining 2 tablespoons olive oil, and place on grill until warm, about 1 minute. Serve meat on pita bread along with thinly sliced red onion, thinly sliced tomato and yogurt sauce.



NOTE: Nutritional anaysis for this recipe includes information for half the amount of marinade ingredients. Depending on marinating time, ingredients, cooking method, etc. the actual amount of the marinade consumed will vary.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Sharon",8/9/05,"Dish, souvlaki, Greek",9/16/05,504798870,504798870,insert,FALSE,,2.2.0,"Fresh Red Onions Medium Whole-2.5""","Fresh Red Tomatoes YearRndAvg Med-2 3/5""",,,,,,,,,,,,

Diced Celery Cooked-Drnd,White Onion Cooked Drained Whole-Med,Sweet Red Bell Peppers Chpd Ckd-Drnd,Mixed Species Shrimp Large-Stmd,Mixed Vegetables w/Liquid-Cnd,Cmrcl Cream Of Mushroom Soup Cond-Cnd,Soy Sauce-f/Soy,Sweet Green Bell Peppers Chpd Ckd-Drnd,Chow Mein Noodles-Ckd FSP,,,"PREP TIME: 15 Min

COOK TIME: 10 Min



YIELDS: 6 Servings



METHOD:



STEP 1:  In a large saucepan, combine chopped celery, diced onions, one sliced red pepper and shrimp (peeled and deveined). Cook over medium heat until shrimp are pink.



STEP 2: Mix in drained canned vegetables and mushroom soup, soy sauce, and chopped green pepper.



STEP 3: Heat thoroughly. Serve over 4 cups cooked chow mein noodles (cooked from 2 cups dry).



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Sa",8/10/05,"Dish, shrimp chow mein, Chinese",8/30/05,20121032,20121032,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Enrich Spaghetti Noodles-Ckd,Salted Butter,Mixed Species Shrimp Large-Stmd,Fresh Garlic Cloves,Half & Half Cream,Parmesan Cheese-Grated,Fresh Parsley-Chpd,Table Salt,,,,"PREP TIME: 20 Min

COOK TIME: 20 Min

YIELDS: 5 Servings



METHOD:



STEP 1: Bring a large pot of lightly salted water to a boil. Add fettuccini pasta and cook for 8 to 10 minutes or until al dente; drain.



STEP 2: In a large skillet, saute shrimp (peeled and deveined) and minced garlic in the butter for about one minute. Pour in half and half; stir. Sprinkle Parmesan cheese in one tablespoon at a time, stirring constantly. After all Parmesan is added, mix in parsley and salt. Stir frequently making sure it does not boil. Sauce will take a while to thicken.



STEP 3: When sauce has thickened, combine with cooked pasta noodles; serve hot.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Tiffany",8/10/05,"Dish, fettucine alfredo,shrimp, Italian",8/30/05,104394000,104394000,insert,FALSE,,2.2.0,,,,,,,,,,,,,,
